high_priority_keywords,low_priority_keywords
Looker,interpersonal skills
Python,attention to detail
SQL,problem-solving
back-end,decision-making
data solutions,decision-making
data visualization,backend data engineer database clustering compliance ETL
Business Intelligence,machine learning ETL
project management,
statistics,
"Python, R, SQL,  predictive analytics",data engineer data modeling data pipeline API
Tableau Agile Python R SQL data engineer data pipeline data visualization compliance ETL,data engineer clustering machine learning cloud infrastructure ETL
MySQLDynamo DBNoSQLSnowflakePython,data engineer data solutions data visualization machine learning ETL DevOp
Kubernete Agile Docker GCP Python SQL,data modeling data pipeline machine learning API ETL
BigQuery PostgreSQL Python SQL back-end compliance cloud infrastructure ETL,data engineer data modeling database ETL
Tableau Looker Airflow Azure BigQuery Power BI NoSQL Snowflake Python SQL data visualization,
Airflow Apache Apache Spark NoSQL Spark REST APIs Python SQL,data modeling ETL
Apache Apache Spark Hadoop Kubernetes Agile Databricks Docker Big Data technologies PostgreSQL Spark Python Scala,decision-making
Airflow Apache Apache Spark Kubernetes Databricks Git Snowflake Spark Python,data pipeline machine learning compliance ETL
Tableau Looker Airflow Apache Apache Spark BigQuery Git NoSQL Snowflake Spark Python SQL,data engineer data pipeline data visualization database machine learning
Airflow Apache Azure BigQuery NoSQL NumPy Python Pandas SQL,"mathematics, data engineer, data modeling, database, ETL"
Databricks NoSQL Python SQL mathematics data engineer machine learning compliance fraud detection API cloud infrastructure,data engineer database compliance API
Hadoop Hive Big Data technologies Spark R SQL,
Airflow Azure BigQuery MySQL GCP Postgres Python data engineer machine learning ETL,
Agile Python SQL,
Tableau Looker Azure CCPA Databricks Spark,
data engineer database ETL Python SQL decision-making Airflow,
"ETL, Python, Pandas, SQL, NumPy",
"data modeling, data visualization, Python, SQL, decision making, Looker, Databricks",
"Tableau, Looker, Python, SQL",
Looker Airflow Apache Hadoop Kubernetes Hive Spark Python Pandas SQL Scala,
"Tableau
Python
SQL
data visualization",
"Looker
GitHub
Snowflake
SQL
data modeling
database
fraud detection",mathematics
"Looker
Azure
PowerBI
Agile
MySQL
DynamoDB
Snowflake
Python
SQL","data solutions
data visualization
compliance
ETL"
"Apache
Apache Spark
Azure
Hadoop
Databricks
GCP
Spark
TensorFlow
Pytorch
Matplotlib
Python
SQL","data visualization
machine learning
predictive analytics
ETL"
"Airflow
Apache
MySQL
GCP
GitHub
Google Cloud
NoSQL
Snowflake
Python
SQL
Scala","data engineer
data modeling
data solutions
machine learning
compliance
API
ETL"
"Airflow
BigQuery
Databricks
Snowflake
SQL
data engineer
ETL",
"Tableau
BigQuery
PowerBI
CCPA
MySQL
Python
R","data modeling
data visualization
database
compliance"
"Tableau
Looker
Power BI
MySQL
PostgreSQL
Python
R
SQL","mathematics
data visualization"
"Hadoop
Agile
PostgreSQL
Spark
Python
R
SQL","clustering
machine learning
predictive analytics
fraud detection
DevOps"
"Tableau
Looker
Power BI
Python
SQL",decision-making
"Agile
Python
R
mathematics
machine learning",
"MySQL
Dynamo DB
NoSQL
Snowflake
Python","backend
data engineer
database
clustering
compliance
ETL"
"Tableau
SAS
Python
R
SQL
","backend
data pipeline
data solutions
compliance
ETL"
"data visualization
Python
SQL
decision-making
Snowflake",
"Airflow
Apache
Apache Spark
Azure
Kubernetes
Docker
Google Cloud
Spark
Python","data engineer
data modeling
compliance
ETL"
"Airflow
Apache
Apache Spark
Azure
Kubernetes
Docker
Google Cloud
Spark
Python
SQL","data engineer
compliance
ETL"
"Apache
Apache Spark
Spark
Python
Pandas
SQL
machine learning
compliance",
"Apache
Apache Spark
Hadoop
Kubernetes
Agile
Databricks
Docker
Big Data technologies
PostgreSQL
Spark
Python
Scala","data engineer
clustering
machine learning
cloud infrastructure
ETL"
"Azure
Kubernetes
Agile
Docker
DynamoDB
GitHub
Postgres
Snowflake
Python
S","data engineer
data pipeline
ETL
DevOps"
"Tableau
Looker
Airflow
Azure
BigQuery
Agile
Docker
Google Cloud
Snowflake
Python
SQL","data engineer
data modeling
compliance
ETL"
"Azure
Hadoop
Databricks
Google Cloud
Big Data technologies
Spark
Matplotlib
Python
Pandas","mathematics
data modeling
data visualization
machine learning
API"
"GCP
TensorFlow
Pytorch
Python
R","mathematics
data visualization
machine learning
predictive analytics"
"Docker
Git
Python
R
SQL","cloud infrastructure
DevOps"
"BigQuery
Python
R
SQL",decision-making
campaign performance,
R,
data science,
information security,
advertising campaigns,
statistics,
